Timestamp,Temperature (°C)
18:30:08,25.56
18:30:10,25.56
18:30:11,25.56
18:30:12,25.56
18:30:13,26.12
18:30:14,26.25
18:30:15,26.68
18:30:16,27.0
18:30:17,27.25
18:30:19,27.75
18:30:20,28.0
18:30:21,28.56
18:30:22,29.0
18:30:23,29.12
18:30:24,29.68
18:30:25,29.43
18:30:26,29.68
18:30:27,30.18
18:30:29,30.56
18:30:30,30.81
18:30:31,30.87
18:30:32,31.0
18:30:33,31.18
18:30:34,31.37
18:30:35,31.62
18:30:36,31.75
18:30:37,31.75
18:30:39,32.0
18:30:40,32.06
18:30:41,32.18
18:30:42,32.18
18:30:43,32.31
18:30:44,32.06
18:30:45,31.87
18:30:46,31.37
18:30:47,31.31
18:30:49,30.93
18:30:50,30.81
18:30:51,30.62
18:30:52,30.12
18:30:53,29.93
18:30:54,29.68
18:30:55,29.62
18:30:56,29.56
18:30:57,29.5
18:30:59,29.43
18:31:00,29.75
18:31:01,29.75
18:31:02,29.68
18:31:03,29.56
18:31:04,29.5
18:31:05,29.5
18:31:06,29.43
18:31:07,29.37
18:31:09,29.37
18:31:10,29.18
18:31:11,28.87
18:31:12,28.56
18:31:13,27.75
18:31:14,27.43
18:31:15,27.25
18:31:16,27.18
18:31:17,26.56
18:31:19,26.62
18:31:20,26.12
18:31:21,26.06
18:31:22,26.18
18:31:23,26.12
18:31:24,25.68
18:31:25,25.62
18:31:26,25.75
18:31:27,25.81
18:31:29,25.31
18:31:30,25.37
18:31:31,25.5
18:31:32,25.56
18:31:33,25.5
18:31:34,25.56
18:31:35,25.43
18:31:36,25.37
18:31:37,25.25
18:31:39,25.06
18:31:40,25.06
18:31:41,25.0
18:31:42,24.93
18:31:43,24.93
18:31:44,25.0
18:31:45,24.87
18:31:46,25.0
18:31:47,24.93
18:31:49,24.93
18:31:50,24.93
18:31:51,25.06
18:31:52,25.12
18:31:53,25.12
18:31:54,24.93
18:31:55,25.06
